Date;Country;City;Specie;count;min (ug/m3);max (ug/m3);median (ug/m3)
11-01-2017;IN;New Delhi;pm25;24;3.1;225.1;146.5
11-01-2017;CN;Beijing;pm25;429;2.1;379.2;84.5
11-01-2017;US;Los Angeles;pm25;65;0.2;23.5;9.1
11-01-2017;US;Jacksonville;pm25;94;1.2;17.3;3.6
11-01-2017;US;Manhattan;pm25;72;4.0;20.1;13.0
11-01-2017;CN;Shanghai;pm25;216;7.2;69.0;30.1
12-01-2017;US;Jacksonville;pm25;114;0.2;22.5;3.1
12-01-2017;CN;Shanghai;pm25;210;2.1;94.2;52.1
12-01-2017;CN;Beijing;pm25;420;6.0;382.2;35.9
12-01-2017;US;Houston;pm25;72;4.3;19.7;7.9
12-01-2017;US;Manhattan;pm25;72;4.3;20.6;12.1
12-01-2017;IN;New Delhi;pm25;23;69.0;400.4;244.3
12-01-2017;CN;Wuhan;pm25;378;52.9;136.8;92.2
12-01-2017;US;Los Angeles;pm25;70;0.2;17.3;6.2
13-01-2017;US;Houston;pm25;73;0.2;12.1;6.2
13-01-2017;CN;Wuhan;pm25;350;10.0;168.6;78.7
13-01-2017;IN;New Delhi;pm25;24;63.2;451.9;239.3
13-01-2017;US;Manhattan;pm25;72;4.5;23.0;9.1
13-01-2017;CN;Beijing;pm25;451;2.1;140.7;14.0
13-01-2017;US;Los Angeles;pm25;72;5.5;32.5;13.0
13-01-2017;CN;Shanghai;pm25;215;61.3;146.5;96.1
13-01-2017;US;Jacksonville;pm25;109;0.4;16.3;4.0
14-01-2017;US;Los Angeles;pm25;70;3.6;38.7;19.2
14-01-2017;CN;Wuhan;pm25;211;42.8;132.9;67.1
14-01-2017;CN;Beijing;pm25;451;3.1;63.2;21.1
14-01-2017;US;Jacksonville;pm25;93;1.2;20.6;5.2
14-01-2017;US;Manhattan;pm25;72;3.1;16.8;8.8
14-01-2017;IN;New Delhi;pm25;24;127.1;5.669.816.108.597.280;246.3
14-01-2017;CN;Shanghai;pm25;216;2.1;92.2;17.8
14-01-2017;US;Houston;pm25;71;1.9;13.0;5.2
15-01-2017;CN;Shanghai;pm25;204;1.2;35.9;12.0
15-01-2017;IN;New Delhi;pm25;24;69.0;284.8;185.8
15-01-2017;CN;Beijing;pm25;453;18.7;119.4;48.9
15-01-2017;US;Houston;pm25;75;0.2;11.5;5.0
15-01-2017;US;Jacksonville;pm25;91;1.2;26.3;6.4
15-01-2017;US;Manhattan;pm25;72;4.5;16.3;11.7
15-01-2017;US;Los Angeles;pm25;70;1.4;32.5;12.0
15-01-2017;CN;Wuhan;pm25;216;16.8;80.6;48.9
16-01-2017;US;Houston;pm25;81;0.2;17.8;6.9
16-01-2017;IN;New Delhi;pm25;23;84.5;231.2;159.5
16-01-2017;US;Manhattan;pm25;72;9.6;20.6;14.4
16-01-2017;CN;Wuhan;pm25;254;39.9;10.061.072.217.194.500;67.1
16-01-2017;US;Jacksonville;pm25;90;0.4;16.8;2.8
16-01-2017;US;Los Angeles;pm25;72;3.6;23.0;13.0
16-01-2017;CN;Beijing;pm25;450;3.1;158.5;96.1
16-01-2017;CN;Shanghai;pm25;216;7.2;32.0;16.8
17-01-2017;IN;New Delhi;pm25;23;78.7;241.3;123.2
17-01-2017;CN;Wuhan;pm25;392;41.9;115.5;63.2
17-01-2017;US;Houston;pm25;68;0.2;12.0;3.8
17-01-2017;CN;Beijing;pm25;435;3.1;308.0;148.4
17-01-2017;CN;Shanghai;pm25;213;14.0;72.9;40.7
17-01-2017;US;Jacksonville;pm25;94;1.2;13.5;4.5
17-01-2017;US;Manhattan;pm25;72;6.4;30.6;17.3
17-01-2017;US;Los Angeles;pm25;69;3.8;37.1;17.3
18-01-2017;US;Los Angeles;pm25;72;0.4;47.2;14.0
18-01-2017;US;Houston;pm25;63;0.2;13.0;4.0
18-01-2017;IN;New Delhi;pm25;22;88.4;386.8;150.4
18-01-2017;CN;Wuhan;pm25;386;26.8;132.9;88.4
18-01-2017;CN;Shanghai;pm25;216;20.1;65.1;33.0
18-01-2017;US;Jacksonville;pm25;94;0.9;20.6;5.5
18-01-2017;US;Manhattan;pm25;72;4.3;23.0;8.3
18-01-2017;CN;Beijing;pm25;408;2.1;282.7;40.7
19-01-2017;CN;Beijing;pm25;445;3.1;152.5;14.9
19-01-2017;US;Manhattan;pm25;72;1.9;14.0;7.9
19-01-2017;IN;New Delhi;pm25;13;109.7;195.9;157.5
19-01-2017;CN;Shanghai;pm25;214;48.0;121.3;72.9
19-01-2017;CN;Wuhan;pm25;389;26.8;155.5;109.7
19-01-2017;US;Houston;pm25;82;0.2;12.1;3.3
19-01-2017;US;Jacksonville;pm25;84;0.4;15.9;5.5
19-01-2017;US;Los Angeles;pm25;63;1.2;19.2;9.8
20-01-2017;US;Jacksonville;pm25;58;2.4;13.5;4.8
20-01-2017;US;Manhattan;pm25;72;3.3;54.9;9.6
20-01-2017;CN;Shanghai;pm25;216;7.2;197.9;46.8
20-01-2017;CN;Wuhan;pm25;386;15.9;158.5;52.1
20-01-2017;IN;New Delhi;pm25;17;33.0;187.8;103.9
20-01-2017;CN;Beijing;pm25;452;3.1;138.7;16.8
20-01-2017;US;Houston;pm25;90;1.2;23.5;9.6
20-01-2017;US;Los Angeles;pm25;54;0.4;24.4;6.0
21-01-2017;US;Los Angeles;pm25;71;0.9;17.3;6.0
21-01-2017;IN;New Delhi;pm25;22;76.8;12.559.545.520.361.900;171.6
21-01-2017;US;Houston;pm25;95;0.9;23.9;11.0
21-01-2017;CN;Wuhan;pm25;359;23.9;171.6;54.1
21-01-2017;US;Manhattan;pm25;72;4.8;24.4;11.7
21-01-2017;CN;Shanghai;pm25;207;12.0;61.3;31.5
21-01-2017;CN;Beijing;pm25;432;3.1;164.6;10.0
22-01-2017;IN;New Delhi;pm25;19;72.9;371.6;260.5
22-01-2017;CN;Wuhan;pm25;381;54.1;222.1;92.2
22-01-2017;US;Los Angeles;pm25;64;0.2;30.6;7.2
22-01-2017;US;Manhattan;pm25;67;5.5;25.8;14.0
22-01-2017;CN;Shanghai;pm25;212;14.9;76.8;46.0
22-01-2017;CN;Beijing;pm25;437;3.1;207.0;18.7
22-01-2017;US;Houston;pm25;80;0.2;6.7;3.6
23-01-2017;CN;Beijing;pm25;430;3.1;220.1;28.2
23-01-2017;IN;New Delhi;pm25;20;80.6;265.6;173.7
23-01-2017;US;Jacksonville;pm25;64;0.4;9.1;3.8
23-01-2017;US;Los Angeles;pm25;66;0.2;18.7;4.0
23-01-2017;US;Houston;pm25;77;0.4;30.6;3.6
23-01-2017;CN;Wuhan;pm25;382;50.1;174.7;86.4
23-01-2017;CN;Shanghai;pm25;213;5.0;42.8;22.0
23-01-2017;US;Manhattan;pm25;67;0.7;14.4;5.0
24-01-2017;CN;Shanghai;pm25;212;10.0;61.3;21.1
24-01-2017;IN;New Delhi;pm25;24;100.0;359.5;192.8
24-01-2017;US;Manhattan;pm25;72;0.9;14.9;5.5
24-01-2017;CN;Beijing;pm25;368;3.1;201.9;98.1
24-01-2017;US;Jacksonville;pm25;79;0.2;17.8;5.5
24-01-2017;CN;Wuhan;pm25;389;38.7;125.2;61.3
24-01-2017;US;Houston;pm25;92;0.9;27.7;7.2
24-01-2017;US;Los Angeles;pm25;69;0.7;74.8;11.2
25-01-2017;CN;Wuhan;pm25;405;40.7;121.3;80.6
25-01-2017;US;Houston;pm25;92;0.2;16.3;5.2
25-01-2017;US;Jacksonville;pm25;88;1.9;20.6;6.9
25-01-2017;US;Manhattan;pm25;63;0.4;12.5;6.9
25-01-2017;US;Los Angeles;pm25;72;1.9;34.4;13.0
25-01-2017;CN;Shanghai;pm25;216;36.7;72.9;55.5
25-01-2017;CN;Beijing;pm25;399;113.6;274.7;180.7
25-01-2017;IN;New Delhi;pm25;24;107.7;301.9;188.8
26-01-2017;US;Jacksonville;pm25;99;0.2;14.9;5.0
26-01-2017;CN;Shanghai;pm25;214;33.0;76.8;52.1
26-01-2017;US;Los Angeles;pm25;71;2.4;48.9;14.9
26-01-2017;US;Manhattan;pm25;60;1.4;44.0;8.6
26-01-2017;IN;New Delhi;pm25;24;30.1;177.7;136.8
26-01-2017;CN;Wuhan;pm25;407;30.1;129.0;63.2
26-01-2017;US;Houston;pm25;95;0.7;17.3;4.8
26-01-2017;CN;Beijing;pm25;296;3.1;400.4;248.3
27-01-2017;CN;Beijing;pm25;385;3.1;488.2;40.7
27-01-2017;US;Jacksonville;pm25;116;0.4;20.6;3.6
27-01-2017;US;Los Angeles;pm25;69;0.2;39.5;9.1
27-01-2017;US;Houston;pm25;95;0.2;43.6;5.5
27-01-2017;US;Manhattan;pm25;61;0.7;7.9;4.8
27-01-2017;CN;Shanghai;pm25;216;9.1;150.4;36.7
27-01-2017;CN;Wuhan;pm25;387;44.8;229.2;111.6
27-01-2017;IN;New Delhi;pm25;24;13.0;136.8;48.0
28-01-2017;CN;Wuhan;pm25;384;92.2;245.3;146.5
28-01-2017;CN;Beijing;pm25;448;3.1;9.425.097.194.570.130;282.7
